off,00
on,01
dtv,00
cadtv,01
sadtv,02
analog,10
cable,11
av1,20
av2,21
av3,22
component,40
rgbpc,60
hdmi1,90
hdmi2,91
hdmi3,92
hdmi4,93
4:3,01
16:9,02
zoom,04
zoom2,05
setbyprogram,06
justscan,09
cinemazoom1,10
cinemazoom2,11
cinemazoom3,12
cinemazoom4,13
cinemazoom5,14
cinemazoom6,15
cinemazoom7,16
cinemazoom8,17
cinemazoom9,18
cinemazoom10,19
cinemazoom11,1A
cinemazoom12,1B
cinemazoom13,1C
cinemazoom14,1D
cinemazoom15,1E
cinemazoom16,1F
videooutmute,10
lockoff,00
lockon,01
osdoff,00
osdon,01
energyoff,00
energymin,01
energymed,02
energymax,03
energyauto,04
energyscreenoff,05
rcenergy,95
rcpower,08
rcinput,0B
rcratio,79
rctvrad,F0
rcqmenu,45
rcmenu,43
rcguide,AB
rcup,40
rcdown,41
rcleft,07
rcright,06
rcok,44
rcback,28
rcexit,5B
rcinfo,AA
rcavmode,30
rcvolup,02
rcvoldn,03
rcfav,1E
rcmute,09
rcprogup,00
rcprogdn,01
rc0,10
rc1,11
rc2,12	
rc3,13
rc4,14
rc5,15
rc6,16
rc7,17
rc8,18
rc9,19
rclist,53
rcqview,1A
rcred,72
rcgreen,71
rcyellow,63
rcblue,61
rctext,20
rctopt,21
rcsubtitle,39
rcsimplink,7E
rcad,91
rcstop,B1
rcplay,B0
rcpause,BA
rcffwd,8E
rcfrew,8F
rc3D,DC
3Don,00
3Dou,00
3Dsbs,01
3Doff,01
getstatus,FF
